Warung_Id,Nama Warung,Deskripsi,Kategori,Koordinat,Longitude,Latitude
1,Warung Kopi Klotok,"Kopi klotok adalah cara pembuatan kopi secara tradisional di Jawa. Berbeda dengan cara modern yang diseduh, kopi direbus dalam panci di atas tungku arang sehingga mengeluarkan bunyi klotok-klotok ketika mendidih. Kata orang-orang, cara ini mirip pembuatan kopi tradisional di Turki.",Warung Kopi,"-7.668636263850809, 110.42171974559258",-7.668636264,110.4217197
2,gudeg bu njum,warung yang berdiri sejak,Warung Makan,"-7.79292375451158, 110.36519678196966",-7.792923755,110.3651968
3,FRIED CHICKEN CAK YUNUS 2,,Warung Makan,"-7.825460531815621, 110.3883271850681",-7.825460532,110.3883272
4,Warung Makan Bejo Josss,,Warung Makan,"-7.824845168500808, 110.37935742466954",-7.824845169,110.3793574
5,WARUNG MAKAN ENAM BELAS,,Warung Makan,"-7.833098090405443, 110.38119100034747",-7.83309809,110.381191
6,Soto Jogja H. Alwi,,Warung Makan,"-7.830255682835294, 110.38022316497849",-7.830255683,110.3802232
7,Nasi Goreng Gajah,,Warung Makan,"-7.820001058023038, 110.37671523467674",-7.820001058,110.3767152
8,Warung Sate Kambing dan Ayam Sor Munggur,,Warung Makan,"-7.819991928601971, 110.37662352512909",-7.819991929,110.3766235
9,Seblak Asgar Lowanu,,Warung Makan,"-7.819076067949365, 110.37625176042359",-7.819076068,110.3762518
10,Mie Ayam Lamongan 'Lempar',,Warung Makan,"-7.815565928596226, 110.37577710823899",-7.815565929,110.3757771
11,Seblak Pasta Taman Siswa,,Warung Makan,"-7.815531442876984, 110.37596599446826",-7.815531443,110.375966
12,Seblak teh isum,,Warung Makan,"-7.826382672910873, 110.37328451901413",-7.826382673,110.3732845
13,Lesehan Srawung,,Warung Makan,"-7.820570243583364, 110.38007318973918",-7.820570244,110.3800732
14,Bale Bebek,,Warung Makan,"-7.825865427157737, 110.38836104796793",-7.825865427,110.388361
15,Mie Ayam Ibu Tumini Sari Rasa Jati Ayu,,Warung Makan,"-7.833733163670274, 110.39069657723755",-7.833733164,110.3906966
16,Nasi Goreng La Vida,,Nasi Goreng,"-7.767526602074753, 110.40060362364778",-7.767526602,110.4006036
17,Warung Penyetan D8,,Warung Penyetan,"-7.7787391923894, 110.40862331630252",-7.778739192,110.4086233
18,Bakso Pajero,,Bakso,"-7.776633190893616, 110.38487701440489",-7.776633191,110.384877
19,Es Coklat Impian,,Es Coklat,"-7.787321684467482, 110.37845044212497",-7.787321684,110.3784504
20,Tjemara Noodle Bar,,Mie Kuah,"-7.778382742607168, 110.37997419906165",-7.778382743,110.3799742
21,Gudeg Sagan,,Gudeg,"-7.777734304812944, 110.37974889350865",-7.777734305,110.3797489
